shy,timid,afraid,hesitant,nervous,scared,anxious,uneasy,tense,agitated,jittery,frightened,skittish,panicky,aghast,chicken,diffident,disturbed,fainthearted,intimidated,jumpy,lily-livered,mousy,nerveless,nervy,perturbed,phobic,pusillanimous,shaky,sheepish,shrinking,solicitous,spineless,timorous,tremulous,unmanly,worried,yellow,chickenhearted,quivery,aflutter,discomposed,disquieted,goose-bumpy,rabbity,weak-kneed,appalling,astounding,atrocious,awful,baleful,creepy,dire,distressing,dreadful,eerie,formidable,frightful,ghastly,ghoulish,grievous,grim,grisly,gruesome,hair-raising,hideous,horrible,lurid,macabre,monstrous,morbid,overwhelming,redoubtable,shocking,sinister,strange,sublime,terrible,tremendous,unearthly,unspeakable,bloodcurdling,horrendous,horrific,shuddersome
reticent,diffident,timid,skeptical,shaky,afraid,afraid,impatient,strained,excited,jumpy,afraid,jumpy,timid,stunned,poultry,sheepish,confused,afraid,terrified,restless,afraid,bashful,collected,cheeky,bothered,afraid,afraid,rocky,timid,retiring,zealous,invertebrate,apprehensive,quivering,unmanful,perturbed,sneaking,chicken,aquiver,shy,pester,agitate,shy,self-effacing,dastardly,dreadful,startling,scandalous,depressing,calamitous,eerie,acute,dreadful,atrocious,scary,dreadful,dreadful,sickening,devilish,dreadful,gloomy,sickening,terrifying,breathtaking,macabre,scandalous,sensational,spooky,atrocious,pessimistic,staggering,awesome,distressing,perverse,funny,exalted,atrocious,fantastic,abnormal,dreadful,alarming,dreadful,dreadful,eerie
wary,demure,nervous,slow,apprehensive,fearful,restless,suspicious,nervous,aroused,excitable,fearful,giddy,perturbed,agog,hen,demure,troubled,cowardly,daunted,frisky,chicken,colorless,composed,crass,annoyed,anxious,chicken,nervous,foolish,timid,attentive,fearful,faint,shaky,unmanlike,distressed,chicken,craven,quaky,timid,unsettle,unsettle,timid,timid,mean-spirited,horrific,breathtaking,rotten,dreadful,deadly,macabre,extreme,troublesome,horrific,fantastic,intimidating,lewd,horrid,eerie,outrageous,harsh,terrifying,horrid,terrifying,ghastly,ghastly,startling,ghastly,freakish,melancholy,devastating,brave,dreadful,threatening,unusual,abstract,ghastly,colossal,absurd,unimaginable,atrocious,atrocious,horrid,macabre
cautious,frightened,scared,unsure,irritable,anxious,fidgety,strained,shaky,moved,restless,anxious,fearful,perplexed,shocked,poltroon,meek,agitated,fearful,browbeaten,fidgety,fainthearted,diffident,imperturbable,crude,irritated,apprehensive,cowardly,insecure,diffident,declining,mindful,feeble,fainthearted,wobbly,effeminate,concerned,offensive,fearful,quivering,afraid,displease,perplex,afraid,bashful,giddy,alarming,surprising,heinous,atrocious,dire,sinister,critical,frightening,ghastly,awesome,imposing,calamitous,ghostly,macabre,monstrous,horrid,dreadful,horrific,shocking,horrendous,horrendous,vivid,ghoulish,obscene,macabre,astounding,courageous,terrible,evil,rare,superb,horrendous,awesome,appalling,monstrous,chilling,horrid,eerie,sinister
diffident,fearful,suspicious,tentative,afraid,startled,fearful,restless,strained,upset,fidgety,startled,edgy,fearful,anxious,dastard,self-effacing,upset,frightened,cowed,shaky,gutless,dull,intrepid,forward,upset,disturbed,gutless,weak,self-conscious,bashful,loving,frightened,fearful,shivery,emasculate,distracted,low,lily-livered,shaky,hesitant,rattle,vex,hesitant,skittish,groggy,harrowing,astonishing,lousy,horrific,evil,disgusting,desperate,regrettable,horrendous,creepy,dangerous,terrible,macabre,spooky,atrocious,sour,horrid,macabre,frightening,abominable,abominable,macabre,grisly,preposterous,unnatural,amazing,fearful,horrific,mischievous,remarkable,transcendent,disturbing,marvelous,devilish,atrocious,frightening,abhorrent,disgusting,disgusting
demure,nervous,apprehensive,shy,concerned,panicky,nervous,fearful,edgy,flustered,shaky,panicky,fickle,nervous,awestruck,quitter,bashful,disordered,gutless,bullied,apprehensive,timid,indeterminate,patient,fresh,flustered,frightened,tame,precarious,uncomfortable,coy,anxious,gutless,hesitant,palpitating,sissy,upset,craven,pusillanimous,shivery,nervous,confuse,perturb,nervous,evasive,woozy,astounding,mind-boggling,barbaric,distressing,foreboding,ghoulish,drastic,sad,abominable,strange,impregnable,terrific,frightening,cruel,egregious,somber,eerie,morbid,chilling,dreadful,dreadful,gory,morbid,horrendous,ghoulish,stunning,formidable,disquieting,dire,fantastic,gorgeous,dreadful,fabulous,eerie,indescribable,hair-raising,harrowing,hair-raising,ghoulish
hesitant,humble,shocked,indecisive,volatile,panicked,concerned,nervous,anxious,,apprehensive,unnerved,restive,scared,dismayed,coward,unassuming,disorganized,intimidated,afraid,creepy,yellow,ineffectual,self-possessed,impudent,vexed,irrational,timid,unstable,abashed,diffident,apprehensive,impotent,meek,quavering,womanish,bothered,amber,spineless,tremulant,scared,irritate,annoy,scared,sheepish,distracted,terrible,wondrous,awful,tough,harmful,awful,distressing,poignant,distressing,supernatural,terrific,unpleasant,horrendous,demonic,lamentable,terrible,macabre,terrible,suspenseful,horrid,horrid,obscene,gruesome,dreadful,ghastly,mind-boggling,frightening,disgusting,ominous,different,heavenly,horrid,formidable,ethereal,inhuman,horrid,awesome,appalling,awful
introverted,bashful,anxious,doubtful,agitated,petrified,apprehensive,insecure,uneasy,,edgy,spooked,excited,apprehensive,appalled,craven,timid,disrupted,lily-livered,,excitable,,pale,tranquil,inconsiderate,anxious,jittery,timorous,wobbly,ashamed,modest,ardent,inadequate,shrinking,shivering,womanly,disturbed,ivory,timid,twittery,anxious,worry,disturb,anxious,demure,shaky,hideous,eye-popping,shocking,harrowing,hurtful,terrifying,dreadful,deplorable,tremendous,uncanny,menacing,ghastly,terrible,grisly,deplorable,cruel,terrible,appalling,electrifying,monstrous,eerie,racy,weird,inhuman,gruesome,vast,illustrious,appalling,malevolent,outlandish,divine,abhorrent,dreadful,extraordinary,unbelievable,horrific,appalling,heinous,terrifying
fearful,gentle,frightened,halting,hysterical,shaken,distressed,shaky,apprehensive,,anxious,petrified,capricious,shocked,amazed,recreant,self-conscious,upset,meek,,high-strung,,plain,unemotional,pert,restless,jumpy,,unsettled,docile,,avid,ineffective,shy,trembling,afraid,tense,lemon,yellow,wobbly,uneasy,bewilder,distress,uneasy,meek,dumb,frightful,overwhelming,dreadful,horrible,injurious,menacing,disastrous,painful,alarming,ghostly,dire,horrible,appalling,ghastly,calamitous,glum,bloody,frightful,exciting,disgusting,disgusting,exaggerated,frightening,grotesque,grim,crushing,imminent,heinous,adverse,peculiar,glorious,unpleasant,incredible,fiendish,appalling,nightmarish,frightful,cruel,menacing
nervous,modest,hesitant,loath,jumpy,terrified,uneasy,apprehensive,agitated,,uneasy,abashed,changeable,anxious,afraid,funk,shy,disquieted,mousy,,jittery,,shy,controlled,plucky,uneasy,nervous,,jittery,guilty,,careful,ineffectual,tentative,cowardly,cowardly,frightened,gold,faint-hearted,palpitating,tense,perturb,bother,tense,self-effacing,wobbly,ghastly,shocking,horrid,disgusting,malevolent,disturbing,alarming,nagging,monstrous,mysterious,fierce,awful,frightful,horrible,flagrant,grisly,frightful,ugly,spine-tingling,revolting,abhorrent,violent,grim,horrible,aberrant,exciting,terrible,ugly,apocalyptic,astonishing,imposing,unfortunate,terrific,frightening,heinous,scary,disastrous,grisly,disturbing
humble,weak,unhappy,afraid,weak,aghast,uptight,precarious,jittery,,uptight,frozen,combustible,distressed,agape,biddy,unsure,neurotic,spineless,,skittish,,timid,afraid,rude,,neurotic,,rickety,retiring,,concerned,irresolute,timid,fearful,fainthearted,tormented,blond,yellow-bellied,quavering,agitated,disquiet,pester,agitated,bashful,dazed,dire,stupefying,terrible,appalling,malignant,weird,calamitous,fearful,terrific,bizarre,daunting,shocking,ghoulish,gruesome,appalling,ghastly,ghastly,grisly,bloodcurdling,terrifying,terrifying,grisly,lurid,hideous,abnormal,paralyzing,valiant,shameful,bad,extraordinary,elevated,hideous,immense,funereal,odious,terrifying,ghastly,ghastly,weird
